defect_type,defect_size_mm,machine_id,machine_age_years,days_since_maintenance,shift,operator_experience_years,production_speed_mpm,thread_tension_n,humidity_pct,temperature_c,fabric_batch_quality_score,root_cause
color_defect,3.3,M06,11.6,2,morning,0.3,28.4,14.3,55.8,26.9,93.3,human_error
cut,2.8,M05,3.1,21,morning,0.4,41.5,9.65,57.8,24.8,99.7,human_error
color_defect,8.1,M01,3.5,0,morning,3.5,42.4,11.54,48.7,27.1,64.4,material_issue
oil_spot,3.4,M09,6.8,6,night,5.8,42.8,11.92,51.0,28.0,100.0,material_issue
oil_spot,1.1,M02,4.4,0,night,0.5,22.0,13.38,79.1,26.2,68.0,human_error
oil_spot,3.3,M05,3.0,49,afternoon,1.9,30.0,12.07,61.2,21.8,77.8,human_error
hole,16.0,M07,9.4,59,morning,12.3,34.6,9.2,58.6,18.8,79.3,machine_fault
hole,12.4,M01,6.5,24,afternoon,2.5,42.9,10.51,57.6,29.8,85.4,human_error
cut,21.7,M12,3.7,87,night,0.2,38.4,12.52,58.3,20.2,58.8,human_error
stain,13.5,M11,12.5,0,afternoon,1.0,26.7,15.19,51.9,24.4,81.2,material_issue
cut,8.9,M02,0.9,40,morning,8.3,40.7,12.12,69.7,21.9,67.4,human_error
cut,3.0,M01,4.0,2,morning,1.4,27.0,10.08,54.6,24.7,98.3,human_error
color_defect,26.2,M11,13.6,90,afternoon,0.3,44.1,11.17,62.4,22.5,68.8,human_error
thread_error,3.6,M01,8.0,18,afternoon,1.2,20.4,19.92,81.8,22.0,41.3,human_error
objects,20.0,M09,5.3,53,afternoon,1.3,33.1,12.26,61.6,24.1,75.6,machine_fault
objects,12.2,M01,13.2,31,afternoon,7.6,38.2,13.79,61.0,26.6,90.1,machine_fault
thread_error,13.1,M07,2.8,34,night,2.8,36.5,12.12,38.7,26.2,84.7,machine_fault
objects,8.0,M02,5.5,20,night,0.4,36.4,13.02,52.8,22.8,69.6,human_error
oil_spot,2.4,M12,11.4,2,night,0.1,47.5,11.84,48.3,29.6,53.3,human_error
cut,34.1,M04,10.0,6,night,0.7,40.2,11.75,77.2,20.8,52.1,human_error
oil_spot,15.9,M03,1.0,21,morning,8.0,39.0,11.93,58.2,23.3,85.6,machine_fault
objects,9.4,M12,14.5,4,afternoon,0.0,48.1,15.75,59.4,19.3,66.4,human_error
oil_spot,3.2,M01,0.7,1,morning,2.6,22.3,13.9,64.4,25.3,60.5,material_issue
cut,10.4,M08,0.6,7,afternoon,0.4,32.8,11.78,52.9,21.8,77.9,human_error
thread_error,4.3,M08,9.7,24,morning,11.0,35.5,10.38,63.4,25.2,88.4,machine_fault
objects,11.9,M03,1.1,3,afternoon,5.2,48.9,14.69,83.4,22.7,69.7,material_issue
oil_spot,11.4,M06,10.9,5,night,14.7,26.0,13.41,49.0,24.6,91.4,human_error
objects,39.8,M04,7.8,15,afternoon,3.5,34.3,11.07,73.1,28.9,84.0,machine_fault
color_defect,5.6,M08,12.6,5,night,2.1,48.3,15.19,57.8,17.0,64.4,human_error
color_defect,3.2,M09,10.1,2,afternoon,1.5,43.4,11.26,55.2,23.7,50.7,material_issue
oil_spot,4.5,M10,7.0,22,morning,2.4,39.7,12.29,46.1,20.1,96.1,material_issue
hole,1.3,M06,3.5,2,morning,0.2,40.8,12.13,63.8,23.8,76.2,human_error
thread_error,2.6,M08,8.0,13,afternoon,0.6,27.5,13.61,58.3,22.0,91.1,human_error
cut,4.4,M02,4.0,35,night,5.9,36.6,11.35,57.2,26.3,87.6,human_error
cut,17.3,M09,14.9,27,morning,1.4,37.4,10.04,65.8,23.6,69.5,machine_fault
objects,9.8,M01,5.8,10,afternoon,2.0,22.6,11.24,39.5,22.2,77.5,human_error
objects,14.4,M08,8.0,13,morning,1.7,23.9,7.89,67.3,31.3,95.8,machine_fault
oil_spot,8.5,M04,14.0,8,morning,2.7,28.0,9.54,66.7,22.1,46.3,human_error
oil_spot,7.0,M11,2.3,39,night,0.8,42.6,10.34,45.1,23.5,68.1,human_error
thread_error,9.9,M09,9.9,3,morning,9.5,37.5,15.77,44.7,20.8,85.4,machine_fault
hole,3.4,M02,2.7,5,night,2.6,24.5,12.36,42.2,21.8,83.4,human_error
hole,3.5,M03,9.2,22,afternoon,2.4,43.3,10.7,35.2,27.1,77.5,material_issue
thread_error,3.1,M11,5.5,19,afternoon,7.1,30.8,12.51,38.9,26.5,100.0,human_error
oil_spot,5.2,M02,5.8,107,afternoon,1.6,28.4,12.4,56.3,25.1,64.9,machine_fault
oil_spot,13.4,M12,14.7,12,morning,0.5,41.9,13.91,64.3,20.5,71.5,human_error
oil_spot,23.8,M02,1.4,2,morning,1.7,22.7,9.02,55.7,19.2,66.7,human_error
thread_error,4.1,M10,7.8,10,afternoon,4.0,38.0,17.0,46.6,25.3,83.7,machine_fault
cut,3.1,M06,5.0,18,morning,9.1,30.9,14.33,45.4,25.1,89.3,material_issue
cut,6.3,M02,4.5,38,morning,0.1,21.7,15.14,68.7,18.0,66.6,human_error
color_defect,3.0,M03,3.0,1,night,1.2,39.4,9.69,73.3,28.0,64.0,material_issue
cut,6.3,M05,13.4,11,morning,1.8,44.7,11.21,65.5,26.3,74.6,human_error
objects,2.3,M05,12.6,19,morning,0.3,34.0,10.91,64.8,20.1,48.9,machine_fault
objects,13.2,M04,13.0,9,night,0.6,37.3,10.17,52.6,22.9,73.7,human_error
objects,1.6,M01,9.4,1,afternoon,0.7,35.7,16.31,52.3,24.3,78.6,human_error
color_defect,2.8,M03,10.1,4,morning,0.4,44.5,13.8,67.0,21.7,53.7,material_issue
oil_spot,4.3,M09,8.2,0,night,6.4,46.6,16.5,63.9,25.8,62.2,material_issue
color_defect,12.3,M02,14.2,5,morning,0.9,37.5,14.04,65.3,22.3,72.5,human_error
hole,4.4,M12,1.3,7,night,1.3,48.8,12.75,58.9,22.0,57.1,human_error
thread_error,39.4,M06,8.7,23,night,4.0,30.0,13.2,52.0,23.9,87.4,human_error
objects,26.4,M09,8.5,26,afternoon,0.8,44.6,10.48,53.4,24.0,63.2,machine_fault
hole,1.0,M06,13.2,112,morning,2.4,39.7,12.85,34.6,28.4,100.0,machine_fault
color_defect,3.5,M01,9.0,13,afternoon,0.3,47.3,17.02,79.7,27.6,90.4,human_error
objects,3.0,M08,5.3,30,afternoon,6.2,12.8,14.0,49.8,21.3,62.4,material_issue
stain,2.6,M06,9.8,10,afternoon,6.2,33.2,9.6,50.5,27.3,100.0,machine_fault
thread_error,2.1,M06,4.5,14,morning,11.3,31.3,8.01,61.2,22.4,57.5,material_issue
color_defect,3.3,M08,11.1,29,morning,3.8,38.2,10.57,59.2,24.4,60.4,material_issue
hole,7.6,M09,11.8,1,afternoon,0.1,35.8,9.17,33.8,20.9,78.7,human_error
stain,16.2,M05,4.2,21,morning,3.3,38.7,11.91,35.6,27.5,64.0,material_issue
cut,5.2,M12,11.0,1,afternoon,3.1,34.3,9.93,39.8,23.8,68.3,human_error
hole,2.4,M12,5.7,76,night,2.8,41.7,11.09,74.0,24.8,80.4,machine_fault
stain,2.7,M09,1.9,8,morning,2.0,30.9,15.02,28.6,20.9,73.1,material_issue
cut,2.5,M07,9.8,4,night,2.9,51.2,7.42,59.6,20.6,86.8,human_error
objects,47.7,M05,11.1,34,morning,6.4,37.7,10.64,42.3,23.9,61.2,machine_fault
stain,14.7,M09,12.4,4,morning,14.5,24.9,9.48,58.3,26.2,58.4,material_issue
oil_spot,6.1,M10,2.0,5,morning,1.7,47.9,11.19,69.6,28.6,90.0,human_error
objects,6.8,M02,5.2,23,morning,0.8,31.8,13.31,48.9,26.3,95.6,machine_fault
oil_spot,1.9,M05,10.0,55,night,5.8,40.1,14.77,59.9,23.3,85.1,machine_fault
oil_spot,8.9,M03,6.5,32,afternoon,0.1,31.8,11.83,61.5,26.7,90.0,material_issue
color_defect,17.8,M06,2.2,1,morning,0.2,21.4,13.32,63.9,21.3,65.2,human_error
hole,6.4,M07,8.2,36,morning,2.2,41.8,10.29,77.3,26.6,62.9,human_error
oil_spot,9.2,M01,1.4,62,morning,4.7,26.0,11.73,43.2,22.6,96.5,material_issue
hole,1.4,M03,10.0,60,afternoon,5.4,53.3,12.27,53.7,23.4,68.4,machine_fault
color_defect,5.6,M01,9.5,12,afternoon,2.6,42.7,17.91,58.6,24.9,70.4,human_error
stain,18.1,M09,12.3,6,night,3.0,36.6,14.48,54.2,22.2,97.2,human_error
oil_spot,4.7,M10,14.3,34,morning,4.0,36.2,10.46,46.5,25.0,62.5,material_issue
objects,8.6,M12,1.7,8,night,4.4,26.3,15.53,53.8,24.1,85.6,human_error
objects,14.6,M06,12.5,94,night,4.7,15.4,15.89,52.8,21.7,72.4,machine_fault
cut,18.6,M03,1.6,15,night,3.6,30.5,8.68,81.3,19.9,69.6,human_error
oil_spot,10.0,M12,6.7,3,night,1.7,45.5,15.49,48.3,23.4,49.7,human_error
color_defect,1.2,M06,7.1,23,morning,2.7,35.0,10.81,53.8,25.2,58.5,human_error
thread_error,7.2,M10,2.2,62,morning,8.8,44.4,12.92,53.7,25.3,51.4,machine_fault
objects,2.2,M05,12.6,11,morning,1.2,24.9,9.84,55.7,25.5,89.4,machine_fault
color_defect,2.1,M01,11.2,7,morning,6.3,48.8,11.28,56.0,23.7,82.9,human_error
objects,6.4,M12,1.1,27,afternoon,0.2,32.1,16.92,55.2,26.0,78.3,machine_fault
oil_spot,14.1,M08,6.9,18,night,1.8,39.3,12.77,28.6,18.9,97.8,machine_fault
thread_error,10.3,M01,12.8,44,morning,8.6,39.7,4.65,62.9,24.6,74.7,machine_fault
oil_spot,12.7,M05,5.7,32,morning,0.9,30.7,14.14,61.2,26.1,81.3,human_error
color_defect,2.0,M08,6.3,25,morning,4.7,51.9,13.96,75.7,26.0,80.9,material_issue
stain,15.8,M02,10.8,21,morning,8.0,22.3,10.11,49.4,21.9,75.9,material_issue
cut,6.0,M05,6.5,28,morning,5.1,33.9,14.72,57.6,27.9,81.4,machine_fault
color_defect,1.0,M04,2.6,29,morning,2.7,29.4,10.98,48.7,24.5,62.7,human_error
oil_spot,23.9,M07,9.0,12,morning,11.3,33.6,12.37,67.8,24.6,87.9,material_issue
thread_error,1.9,M01,10.5,13,morning,4.0,39.2,9.96,57.3,24.2,59.2,machine_fault
hole,14.8,M06,14.4,13,afternoon,2.4,30.6,8.95,48.9,23.6,68.2,machine_fault
oil_spot,5.0,M06,13.3,4,afternoon,3.7,29.1,10.96,70.3,26.4,91.1,material_issue
objects,7.1,M11,5.8,1,morning,2.9,40.9,10.72,52.3,21.0,36.6,human_error
objects,6.8,M10,8.0,22,morning,5.9,36.0,15.87,52.1,24.6,89.7,machine_fault
oil_spot,23.2,M07,13.2,22,afternoon,7.1,22.6,13.97,49.3,22.8,79.5,material_issue
stain,8.7,M10,8.9,92,morning,3.0,45.3,15.37,72.6,25.0,84.9,material_issue
hole,10.4,M08,13.6,3,afternoon,6.6,33.8,13.04,58.6,29.2,77.5,machine_fault
stain,7.6,M06,6.5,7,night,1.7,40.2,12.46,58.4,28.7,72.4,human_error
thread_error,6.9,M01,2.5,105,afternoon,2.0,28.9,12.77,54.6,30.8,83.2,machine_fault
objects,12.9,M07,3.6,0,morning,7.1,28.4,15.29,45.0,28.7,90.7,machine_fault
objects,6.8,M11,14.4,28,night,3.7,38.7,13.37,65.7,17.7,67.7,machine_fault
thread_error,3.6,M03,13.5,0,night,0.7,63.0,8.34,82.1,23.1,73.7,human_error
oil_spot,11.2,M02,13.6,41,night,0.1,38.9,13.64,60.3,21.4,69.5,human_error
objects,8.2,M03,2.6,11,night,7.5,46.4,10.66,38.0,24.6,62.1,machine_fault
stain,5.4,M03,7.9,10,night,7.2,44.9,9.32,63.2,27.6,48.3,material_issue
color_defect,11.0,M08,3.8,7,morning,1.0,44.7,14.05,52.0,27.4,59.1,human_error
oil_spot,8.9,M06,6.4,4,night,3.1,32.2,9.4,73.0,22.5,48.8,human_error
color_defect,21.3,M11,11.5,2,afternoon,2.8,39.9,11.54,61.4,26.7,70.2,material_issue
thread_error,2.4,M02,12.2,4,morning,1.6,43.5,14.34,62.6,24.3,39.1,machine_fault
color_defect,1.4,M11,12.7,0,afternoon,14.1,22.9,11.11,65.7,25.7,82.5,material_issue
oil_spot,4.0,M03,14.3,5,night,6.6,43.4,15.73,66.6,22.3,63.3,material_issue
color_defect,4.5,M12,3.2,0,morning,0.8,40.4,11.66,67.1,23.4,53.5,material_issue
thread_error,20.7,M02,3.5,9,night,6.1,30.5,12.85,63.1,26.0,81.4,machine_fault
color_defect,11.8,M06,8.4,77,afternoon,0.8,24.2,12.94,45.4,24.1,80.9,human_error
hole,10.7,M11,9.1,3,night,0.3,49.1,10.43,44.4,23.7,100.0,human_error
hole,5.2,M06,5.0,6,afternoon,8.0,39.4,12.85,59.7,20.0,90.7,machine_fault
hole,5.6,M03,14.4,10,night,0.8,28.1,11.65,58.8,24.6,50.9,human_error
thread_error,11.6,M02,10.9,1,morning,8.4,28.7,10.27,44.0,21.5,74.0,material_issue
color_defect,1.6,M07,12.7,32,night,10.8,23.8,12.52,72.0,26.0,77.3,material_issue
oil_spot,5.7,M07,4.4,9,night,4.4,33.2,15.63,38.9,26.1,65.9,material_issue
hole,21.6,M06,11.9,18,morning,3.6,28.6,5.92,66.7,21.0,74.6,machine_fault
cut,17.5,M05,11.3,25,night,2.4,34.2,13.95,35.5,25.1,70.9,human_error
cut,4.4,M04,9.7,9,morning,1.1,40.1,11.28,58.7,17.5,79.3,human_error
thread_error,7.2,M05,6.5,25,morning,2.7,47.8,10.83,56.2,27.4,64.9,machine_fault
cut,26.7,M10,5.6,2,morning,2.9,23.7,13.5,53.2,22.2,63.9,human_error
thread_error,8.4,M01,8.3,23,afternoon,0.8,13.9,12.01,58.9,26.8,59.8,machine_fault
color_defect,3.0,M05,11.6,22,night,12.1,39.3,15.34,60.0,26.6,89.1,human_error
hole,6.3,M08,11.4,12,night,0.9,31.9,10.32,67.5,33.4,69.6,human_error
color_defect,6.8,M03,4.6,4,morning,2.6,39.6,10.13,56.9,27.5,74.5,human_error
hole,9.0,M11,10.7,9,morning,0.2,39.7,11.49,68.3,22.8,69.2,machine_fault
thread_error,3.4,M05,8.1,8,afternoon,5.7,28.6,15.77,40.2,27.9,58.5,human_error
hole,17.2,M05,8.4,28,morning,2.1,28.6,15.76,39.9,25.1,90.5,human_error
stain,3.5,M02,6.1,34,afternoon,6.4,42.4,9.25,56.2,23.8,53.7,material_issue
stain,1.3,M07,4.3,21,night,6.0,29.4,13.46,58.1,22.4,59.9,human_error
objects,10.8,M02,11.9,11,morning,2.9,31.5,16.08,47.0,24.8,86.2,human_error
thread_error,4.0,M03,8.8,7,morning,13.0,33.5,11.91,52.2,22.4,78.6,machine_fault
stain,22.1,M05,13.0,17,afternoon,18.7,32.2,15.91,45.2,28.6,82.5,material_issue
cut,4.7,M05,14.9,79,afternoon,6.5,40.5,15.99,54.2,22.0,92.8,material_issue
objects,1.2,M06,4.5,3,afternoon,3.7,39.5,9.8,78.8,22.4,70.0,material_issue
stain,8.2,M08,12.1,64,afternoon,2.7,26.2,11.22,35.1,25.6,77.3,material_issue
cut,14.0,M01,9.3,42,night,4.3,38.4,11.15,53.0,24.6,61.6,human_error
oil_spot,6.1,M05,1.4,8,morning,14.8,37.7,12.77,47.0,23.5,65.1,material_issue
oil_spot,3.4,M04,14.6,28,night,2.3,42.0,10.38,40.6,20.9,67.7,material_issue
objects,6.2,M06,13.5,29,morning,17.3,31.1,11.3,61.4,26.5,59.0,machine_fault
cut,16.9,M12,7.6,1,afternoon,1.5,25.5,6.2,61.5,28.9,91.9,human_error
color_defect,2.1,M09,14.1,0,afternoon,2.5,41.0,16.89,68.1,27.9,78.1,human_error
stain,6.4,M01,12.4,14,afternoon,2.9,32.9,14.51,44.5,26.9,78.5,material_issue
thread_error,9.9,M07,8.8,3,morning,6.4,29.3,11.42,69.2,24.6,67.0,machine_fault
cut,3.2,M06,11.4,19,afternoon,0.2,24.4,10.48,59.6,19.0,65.5,human_error
cut,6.2,M07,0.6,29,afternoon,3.8,35.6,16.03,59.3,24.5,96.9,human_error
objects,3.2,M03,9.4,48,afternoon,2.8,18.3,16.31,51.6,24.9,74.3,machine_fault
hole,12.1,M01,9.4,4,morning,3.4,25.7,13.51,68.5,24.5,53.5,machine_fault
hole,8.3,M11,4.7,8,morning,0.2,44.7,16.26,41.9,25.6,88.1,human_error
oil_spot,1.7,M10,7.1,22,afternoon,1.7,46.1,11.24,46.5,22.7,87.8,material_issue
thread_error,6.1,M02,14.0,1,morning,0.7,26.2,12.75,54.3,25.5,50.3,machine_fault
color_defect,10.4,M08,12.4,28,morning,0.0,40.1,9.21,34.5,19.3,70.9,human_error
hole,2.4,M05,6.7,35,morning,5.3,20.4,12.68,32.1,23.8,54.5,machine_fault
objects,1.9,M12,11.1,21,night,6.9,50.3,14.02,52.4,26.6,82.0,human_error
stain,4.4,M05,1.5,18,afternoon,0.1,38.4,17.2,34.1,25.7,74.0,human_error
color_defect,4.5,M01,2.5,23,night,5.5,31.1,13.05,56.0,22.1,79.2,human_error
hole,9.5,M06,11.5,30,morning,0.9,33.9,10.1,62.7,24.4,58.6,human_error
objects,14.5,M07,6.6,2,afternoon,11.2,30.3,12.56,63.6,17.9,92.4,human_error
cut,17.9,M03,5.6,10,afternoon,4.3,33.7,10.3,50.5,23.0,57.0,human_error
color_defect,13.1,M09,5.0,36,morning,2.5,22.9,9.51,49.0,23.2,71.7,material_issue
cut,19.5,M05,0.6,57,morning,0.5,35.0,15.95,36.2,22.8,49.2,human_error
hole,8.7,M11,10.8,23,morning,1.1,38.6,11.09,52.1,27.9,70.3,human_error
cut,11.3,M07,7.2,11,morning,0.9,34.2,5.24,57.2,20.8,95.9,human_error
color_defect,5.0,M03,9.2,3,morning,0.1,32.0,10.73,47.9,23.7,76.3,human_error
oil_spot,4.8,M11,4.9,0,afternoon,2.0,35.3,13.11,66.4,20.9,82.1,material_issue
color_defect,5.7,M11,12.2,5,morning,6.8,19.1,10.47,63.1,21.7,74.8,material_issue
objects,8.0,M10,3.5,7,night,3.2,28.3,15.19,43.1,23.3,80.8,human_error
stain,5.0,M04,13.3,45,morning,1.0,23.3,10.75,66.7,25.5,89.7,machine_fault
oil_spot,8.7,M04,4.4,1,night,0.7,39.8,14.79,67.6,24.7,70.8,human_error
thread_error,4.1,M07,14.0,23,night,3.2,27.4,10.31,45.7,26.5,88.5,human_error
oil_spot,1.5,M02,8.8,11,morning,5.9,40.8,9.41,62.4,20.1,62.9,material_issue
stain,3.8,M11,11.1,8,afternoon,10.6,31.7,6.94,42.1,29.7,55.8,material_issue
stain,11.0,M05,8.9,16,afternoon,0.3,36.6,10.01,62.5,23.3,59.0,material_issue
stain,10.2,M09,5.0,36,afternoon,3.5,41.7,9.98,45.4,22.9,66.5,material_issue
oil_spot,9.8,M04,9.9,6,morning,8.9,25.8,12.45,56.5,26.8,68.3,machine_fault
oil_spot,8.2,M11,12.5,75,afternoon,0.4,19.3,11.01,31.2,23.2,92.2,machine_fault
thread_error,13.7,M11,2.2,17,morning,6.5,35.9,11.57,68.5,26.2,73.8,material_issue
hole,3.3,M03,7.4,17,afternoon,0.4,44.4,17.7,62.9,20.2,100.0,human_error
hole,1.2,M08,9.0,26,morning,4.1,24.1,11.63,61.0,29.4,85.6,machine_fault
color_defect,1.5,M06,5.3,22,morning,5.6,17.0,9.05,57.6,21.1,73.7,material_issue
thread_error,14.4,M12,15.0,12,morning,2.0,20.6,8.61,46.5,29.9,67.1,machine_fault
hole,1.5,M10,7.4,18,afternoon,2.1,28.3,11.1,41.6,22.9,62.4,machine_fault
color_defect,5.5,M08,5.5,32,afternoon,0.3,41.9,12.35,36.1,21.6,73.9,human_error
oil_spot,36.2,M07,7.8,4,morning,6.3,33.2,13.71,43.4,22.2,57.5,material_issue
thread_error,8.5,M06,7.3,10,night,0.0,39.2,15.2,65.1,22.9,46.0,human_error
cut,1.1,M05,13.6,36,morning,2.3,29.9,9.96,45.8,24.0,38.5,human_error
objects,8.9,M12,0.7,13,morning,6.9,39.0,13.41,64.5,22.5,42.4,machine_fault
hole,26.7,M06,7.9,13,morning,7.3,35.2,9.07,75.3,29.7,77.4,machine_fault
cut,1.6,M08,4.8,1,morning,0.5,35.4,9.35,46.4,20.1,89.7,human_error
cut,2.9,M04,8.9,0,night,0.2,35.4,13.23,39.6,23.9,77.1,human_error
oil_spot,8.6,M02,9.6,20,night,1.6,35.9,12.11,54.1,29.3,95.5,human_error
stain,1.5,M03,8.1,1,morning,12.6,37.4,13.96,78.6,22.6,92.1,material_issue
stain,23.3,M12,11.1,16,afternoon,0.5,21.0,9.26,67.9,21.2,86.0,material_issue
stain,5.3,M07,5.1,5,morning,7.0,33.5,7.83,55.6,23.7,92.8,material_issue
objects,4.1,M07,5.1,48,morning,4.7,30.6,9.57,65.0,23.5,70.3,machine_fault
hole,14.2,M01,5.7,2,morning,4.1,34.7,7.53,57.7,21.1,90.3,human_error
thread_error,11.3,M03,2.9,3,night,1.9,51.1,8.58,46.7,24.4,69.2,human_error
stain,9.7,M04,5.7,18,morning,8.0,26.1,9.42,44.6,20.4,100.0,material_issue
oil_spot,1.3,M10,11.2,4,morning,4.1,31.9,11.6,50.3,19.9,85.5,material_issue
oil_spot,4.7,M08,12.2,1,morning,1.9,31.4,9.74,54.1,25.5,95.8,human_error
hole,9.6,M03,6.3,0,afternoon,10.2,38.7,13.12,47.5,27.2,66.7,machine_fault
objects,10.2,M06,2.1,5,morning,6.6,32.0,13.79,48.2,25.3,80.0,machine_fault
color_defect,14.0,M03,4.9,1,morning,0.0,28.3,11.73,41.9,26.3,89.2,human_error
hole,5.1,M11,9.8,7,night,12.8,34.5,11.89,61.1,22.6,91.5,machine_fault
thread_error,4.2,M05,14.7,53,night,2.1,49.8,11.3,45.6,22.7,51.7,machine_fault
objects,6.0,M08,10.6,19,night,0.6,35.5,12.87,57.3,19.0,69.5,human_error
stain,12.0,M01,7.0,40,afternoon,2.5,44.9,11.13,44.9,25.2,78.0,material_issue
objects,2.0,M03,1.3,4,afternoon,1.0,38.8,13.7,56.8,23.1,73.2,human_error
objects,16.8,M01,10.9,2,morning,20.7,45.0,10.88,46.7,18.1,76.6,machine_fault
cut,15.1,M02,14.8,28,morning,3.1,37.3,10.59,37.9,22.4,67.1,machine_fault
cut,2.4,M06,8.6,6,afternoon,1.9,18.4,11.78,53.2,23.0,59.4,human_error
hole,2.0,M12,0.8,28,morning,8.0,48.7,11.58,52.8,20.7,52.8,human_error
cut,9.5,M07,14.7,18,afternoon,8.4,52.1,8.84,43.8,25.8,93.8,material_issue
